policy_name,target_id,regime_id,m_needed,final_recall,final_ndcg,final_rel_l2,reduction_ratio
random,target_0,regime_0,45,1.0,0.9964470922711852,0.1552904049333099,
random,target_0,regime_1,45,1.0,0.9956424525625276,0.15943892237592194,
random,target_1,regime_0,25,1.0,0.9937407305010125,0.14469318761128314,
random,target_1,regime_1,25,1.0,0.9930747544460461,0.14689041642500994,
random,target_2,regime_0,50,1.0,0.995860081701725,0.17523544902393737,
random,target_2,regime_1,50,1.0,0.9955364681550439,0.17788104475766553,
random,target_3,regime_0,35,1.0,0.9961638896084068,0.13842458700612845,
random,target_3,regime_1,35,1.0,0.9957491136778125,0.1412536961162331,
random,target_4,regime_0,55,1.0,0.9933445897493987,0.1767679163020063,
random,target_4,regime_1,55,1.0,0.9928191930017957,0.1792312383349443,
sit_active,target_0,regime_0,30,1.0,0.9948419220429552,0.12140594753763657,0.6666666666666666
sit_active,target_0,regime_1,30,1.0,0.9974586499526514,0.11187844217938227,0.6666666666666666
sit_active,target_1,regime_0,20,1.0,0.993436825177714,0.12645298689747247,0.8
sit_active,target_1,regime_1,25,1.0,0.9933661561251239,0.12353698066757376,1.0
sit_active,target_2,regime_0,30,1.0,0.9960168900881059,0.11581447276512699,0.6
sit_active,target_2,regime_1,30,1.0,0.9972872382398948,0.11195645394790404,0.6
sit_active,target_3,regime_0,25,1.0,0.9961826790299533,0.1241528569215764,0.7142857142857143
sit_active,target_3,regime_1,25,1.0,0.9942512339964351,0.14047297627800914,0.7142857142857143
sit_active,target_4,regime_0,25,1.0,0.994069265032719,0.12267317578689804,0.45454545454545453
sit_active,target_4,regime_1,25,1.0,0.9960233039782127,0.12429213250993255,0.45454545454545453
