policy,p999_latency_us,cvar999_us,load_regime
random,7331.259313315804,7362.623608155988,low
random,4558.039323806275,4568.25012977221,low
random,6390.281690044979,6417.581486664241,low
random,6969.450304334722,6990.340033176417,low
random,4515.113219199835,4548.311313825958,low
random,6030.989420294425,6041.650370337749,low
random,5800.686153374092,5853.744153053331,low
random,5936.9920526916385,5953.111780576426,low
random,6420.5823833597,6471.47922947438,low
random,5374.73079513979,5407.723076328761,low
random,6249.352787513989,6277.296461615228,low
random,4937.493055592225,5007.728529305308,low
random,5078.657723598954,5083.549251930237,low
random,6114.376569805944,6187.19594075485,low
random,5678.47669648625,5697.565879066986,low
random,6300.633579591942,6310.821327789772,low
random,4883.693550007083,4923.325118122321,low
random,6701.655762366556,6731.669839776441,low
random,7002.722129769714,7198.825729327424,low
random,6536.870906923253,6558.333337544922,low
random,5608.919945098964,5610.386801889402,low
random,5964.859135490071,6016.373327187332,low
random,6176.813189984881,6203.106025043328,low
random,7924.640179065555,7988.818437264221,low
random,5854.305451870751,5871.535043507629,low
random,6407.940296466262,6418.044759393841,low
random,6160.574930598042,6196.318711571892,low
random,5903.7879860978555,5913.531784549732,low
random,6286.268737947653,6301.258049343833,low
random,7107.9521397543285,7136.388398033287,low
random,4779.773941263273,4782.443134123418,low
random,5427.7823841516865,5444.713608264623,low
random,6706.27411406956,6731.404987292151,low
random,7443.318217308247,7579.094741803623,low
random,7534.3353088743515,7564.3466597115275,low
random,7651.6799157068335,7656.8666779732,low
random,5563.201886484833,5591.791225473962,low
random,7230.378893388808,7239.357458250015,low
random,6589.25126290996,6635.116791503499,low
random,6941.039598824072,6972.045304505721,low
random,6376.246894841428,6387.5753237541185,low
random,5604.564992767185,5628.76353970075,low
random,7182.290825264084,7196.068421129241,low
random,5628.059880843932,5696.545662595703,low
random,7486.0755414118685,7523.755743236543,low
random,8364.553167313314,8367.930144507289,low
random,5963.423573539249,5978.155827027936,low
random,4619.889066752142,4632.073266451111,low
random,7046.0813341746225,7108.806881272179,low
random,6553.825621235968,6577.724752466291,low
random,6758.454818051655,6762.540973692707,low
random,5728.769157688565,5785.717820745653,low
random,9107.019359816626,9169.176248524023,low
random,6927.541139132926,6974.143280531926,low
random,8042.079586362822,8085.045374315273,low
random,5630.6848295198015,5642.902762724145,low
random,4661.6153064935015,4680.805740416568,low
random,5240.446285605952,5285.152799245547,low
random,5907.114887434871,5958.673981509419,low
random,6047.632971158192,6084.043775099342,low
random,8008.230669620555,8014.997314609358,low
random,4899.92540692664,4930.952778321138,low
random,8805.594296978588,8837.961076539354,low
random,7480.226699969563,7528.094850222049,low
random,5247.12408758273,5279.64239176359,low
random,6964.76250985441,6982.228361455671,low
oracle,2629.7720896730425,2691.675265431549,low
oracle,2937.4198933257744,2966.1158353660458,low
oracle,3780.8272191779474,3799.6300726883346,low
oracle,3325.1540902641327,3349.3896988315473,low
oracle,2870.5114630877165,2884.022445266355,low
oracle,2735.3754388195193,2764.5121103136553,low
oracle,2944.429593217718,2947.455659800665,low
oracle,3651.8126875915536,3742.155414021576,low
oracle,3230.022063944724,3271.0691545698437,low
oracle,3025.6335015666996,3054.5425513573655,low
oracle,2594.617810248334,2619.8522921996564,low
