policy,mean_backlog_us,max_backlog_us,load_regime
partition,693.4864809263115,979.1719371258514,low
partition,1269.0841160212033,2128.0840171673917,low
partition,723.0221706104714,1022.456465522846,low
partition,498.9015181804331,716.446251951158,low
partition,475.42119865298304,902.7886494557897,low
partition,701.9252035132437,1087.8220977415913,low
partition,1277.3133984331207,2069.3875396088806,low
partition,722.0039155088613,1069.8346228820446,low
partition,499.63579121851956,689.4934201050346,low
partition,470.57285592817743,832.3499211068265,low
partition,707.0088478539354,973.4052761509956,low
partition,1250.5775736988664,2018.531934312312,low
partition,725.9799354613364,1064.5155432246065,low
partition,501.73675218352815,709.7691415455774,low
partition,480.20627954136637,942.6699659859878,low
partition,702.4230349712451,1066.3348900216952,low
partition,1289.4560857908828,2144.387185993459,low
partition,730.7308467853151,1053.5050382813788,low
partition,494.94369437762816,699.82469956149,low
partition,477.6125523423003,840.9230996346014,low
partition,704.3965689274778,1032.086920002017,low
partition,1266.2047360978966,2092.4262243105622,low
partition,720.1301699673679,1114.9397921828786,low
partition,498.15470648563957,705.223658577263,low
partition,472.8667706633116,889.3938829509425,low
partition,707.5967225082795,971.1800645486946,low
partition,1259.5899814572413,1981.0980252044392,low
partition,726.3577664934804,1197.408744695742,low
partition,495.65886605546217,674.1189924908103,low
partition,476.242238535877,934.4636507543037,low
partition,704.0212075862277,1076.3534718126466,low
partition,1242.169008494679,2103.9028306798427,low
partition,721.7590541717026,1131.427053321895,low
partition,506.13458146062254,694.0273340659041,low
partition,471.52609577470446,919.053432724002,low
partition,712.1096302761517,986.8046395655983,low
partition,1268.9727042818213,2255.612202410528,low
partition,711.4686052873961,1117.2220982610597,low
partition,495.849998551256,677.9571019528448,low
partition,471.49901495088915,846.9879685553751,low
partition,702.4657858418905,1085.2450366471458,low
partition,1271.829197329841,2253.5639016854693,low
partition,723.2012697942993,1187.223643599078,low
partition,503.01960827594553,688.3827220578532,low
partition,475.7179853035575,817.385439364225,low
partition,705.0030249956995,1001.3058961475617,low
partition,1282.367689367276,2347.6845967829577,low
partition,726.2360926180459,1087.5387247065373,low
partition,494.22026314075737,723.911489294027,low
partition,466.99591093928484,870.3333063453974,low
partition,698.9138752827741,1011.6825760088104,low
partition,1266.7962320351285,2172.290608035284,low
partition,721.2525821169945,1127.8714605015412,low
partition,497.38868849646764,693.367086811435,low
partition,477.3567917502209,924.5305583010486,low
partition,689.6103363946569,1047.818601562325,low
partition,1276.4326872684778,2048.418508837014,low
partition,719.5936855570972,1045.3219317682233,low
partition,497.30727842413245,699.4127208963037,low
partition,465.50079838446806,875.6060714591003,low
partition,701.4364563198313,989.6350275995646,low
partition,1259.584312787646,1976.6240193025515,low
partition,725.2988363942698,1061.6349138500227,low
partition,491.19104746100413,707.4990551544761,low
partition,477.0413545841982,814.5889807961357,low
partition,701.827124914028,970.1753673309868,low
partition,1275.9015546785104,2283.690925094532,low
partition,725.4291864670031,1142.6433543087041,low
partition,495.82873040848915,699.5740049936576,low
partition,479.2965576875449,1132.1662654432803,low
partition,708.1788605587055,1088.5012518055446,low
partition,1257.6298691253344,2063.279910559708,low
partition,718.6377465490293,1064.8842416503758,low
partition,491.0095972832994,747.8970069628995,low
partition,468.72840551643736,965.9679963820381,low
partition,698.849533966824,1046.625812798885,low
partition,1278.4835125451466,2458.9903055854666,low
partition,716.8083398972828,1068.0840381295702,low
partition,500.15016020608437,719.7236173213169,low
partition,473.08015193224344,1074.9032245743874,low
partition,699.4393344415203,1000.2799185552576,low
partition,1292.3126111921174,2028.1613112022678,low
partition,712.6848398201062,1029.9953993882227,low
partition,504.7706586862479,678.8627153467387,low
partition,476.08440713070485,888.0852075914736,low
partition,707.1702829730285,1025.6684967675974,low
partition,1278.1022398025978,2161.3026728113764,low
partition,722.8200625536416,1112.8764312120584,low
partition,498.53721306621014,672.7635409659852,low
partition,474.1749043803835,821.1278305606829,low
partition,709.6777459015674,1038.3197729811072,low
partition,1265.4966061526402,1954.3972401171486,low
partition,718.9849296134636,1122.551761216455,low
partition,490.03522543664997,691.219247960209,low
partition,474.5583578588016,777.314980565192,low
partition,704.1166301040347,984.3936135229014,low
partition,1283.1665777634591,2194.5411587392446,low
partition,711.7659648180102,1028.6708621852667,low
partition,492.8459871800824,662.026156150132,low
partition,482.7097327435691,1021.7782483216724,low
partition,699.5459634464979,988.6742213705438,low
partition,1255.2064064217009,1988.3061707907473,low
partition,723.3749709422812,1073.6037084521085,low
partition,497.36084361679144,728.1202288075992,low
partition,470.6959447305334,827.6387370913435,low
partition,704.0458738902743,1034.5899407500838,low
partition,1266.4951251884147,2061.4769528637407,low
partition,723.9674298470081,1054.2537242824328,low
partition,499.72647445484057,741.6697559968743,low
partition,471.7524719502333,1027.7757158874738,low
partition,711.9684457395746,1076.4370673453086,low
partition,1272.0714959416798,2345.205793582558,low
partition,726.975455108609,1053.9183120465314,low
partition,501.24524460032717,748.2029916413885,low
partition,481.50983308924646,930.8991839607188,low
partition,705.3186043811189,1008.3942210960086,low
partition,1272.3891620886254,1963.3062104095661,low
partition,724.3387631965411,1150.0483423070982,low
partition,499.18855686039524,702.1888319995924,low
partition,474.0624504321438,983.317576457921,low
partition,703.4019066311538,1017.0957526763968,low
partition,1280.4785065773433,2174.790282600239,low
partition,711.4954883319427,1029.0668262353138,low
partition,505.0096163150247,694.729610040762,low
partition,477.6673876321099,812.9252144051716,low
partition,712.306615457199,970.6053647453664,low
partition,1253.131202572784,1951.4006503916462,low
partition,722.2096414760316,1072.0170569964102,low
partition,498.4095267678251,718.4006222493044,low
partition,470.41158406998835,871.6227182707516,low
partition,704.6639858712302,1029.9234745461144,low
partition,1262.8978286182203,1983.2932251473903,low
partition,721.7114561470845,1122.2521565622592,low
partition,498.9589053257033,711.5977740646485,low
partition,469.8906648878666,853.2546174389427,low
partition,701.192473023195,981.8931008470536,low
partition,1255.3507540977573,2280.4650848368183,low
partition,719.2694558208995,1109.5646042573499,low
partition,496.6771433116811,664.2392793565523,low
partition,483.83974315211003,917.2936972725992,low
partition,693.7632433349263,992.968348344184,low
partition,1266.6615456521813,2074.775682093634,low
partition,728.6083189247742,1140.466267929878,low
partition,501.3304821641121,779.6248513511091,low
partition,472.89890849538114,1002.8631344580062,low
partition,701.7142415410067,988.4085808969248,low
partition,1277.3512835374047,2401.063147313951,low
partition,722.20037925806,1051.668349763364,low
partition,499.6316291410604,717.8102972443157,low
partition,480.1028765106898,895.4532174544547,low
partition,706.6631145701832,974.9283967928495,low
partition,1270.5436075439002,1983.8521197418304,low
partition,725.1859249691358,1090.5640219062625,low
partition,495.7853049565477,698.4476341141999,low
partition,474.2510465556101,940.913297807856,low
partition,704.9166205067164,951.5810962140895,low
partition,1251.3693342469824,2129.489027869946,low
partition,716.6857987046687,1188.5582908097422,low
partition,501.6460946880108,737.751113634411,low
partition,479.0465718988522,895.0631303421542,low
partition,703.9352490420831,999.6609940691633,low
partition,1254.9218322001973,2211.8293265999528,low
partition,710.3755470364848,1123.3029454096322,low
partition,493.08058284503795,689.1983867123563,low
partition,467.53857317204836,869.8079197275001,low
partition,702.6360094679735,1042.6018209335598,low
partition,1264.2676072004344,2078.582316732849,low
partition,724.5783163098625,1122.1080977677193,low
partition,497.0890375320564,702.7165368378191,low
partition,481.0089962583066,1155.7509680120274,low
partition,696.9063209264791,1070.419643009489,low
partition,1268.0974360472865,2087.8126136533683,low
partition,719.5086627062747,1079.5512971881253,low
partition,498.69290882018095,745.6687629193184,low
partition,480.82747203138274,874.8670882677252,low
partition,694.0212914715489,1069.1763339798636,low
partition,1265.8939982897064,2339.120082692534,low
partition,727.8599448925643,1062.9873588156115,low
partition,493.06513193474666,705.1156249600317,low
partition,487.263435185464,877.4615971363055,low
partition,708.0730782039086,981.8555627839232,low
partition,1265.2883346918404,1907.3114126255095,low
partition,725.9671685226772,1079.3136155608518,low
partition,490.3647062813109,716.1357436357121,low
partition,468.1228650148004,908.1283791678579,low
partition,703.4098200655318,997.8199428572082,low
partition,1278.1457391555718,2093.0004841194022,low
partition,715.4265011804682,1023.5940072931407,low
partition,492.18916107278864,717.2243994304736,low
random,3094.546976454214,3380.058784553781,low
random,5689.344221564091,6073.025297830813,low
random,4434.982764559826,5193.258826186648,low
random,3982.39159596119,4268.587780534464,low
random,5755.62992872392,6005.653415923938,low
random,3660.6002648557223,4097.476968835574,low
random,3212.176257588246,3624.8353025303513,low
random,4069.864417069184,4889.719302254496,low
random,3231.3895172100965,3546.183999430621,low
random,4236.833209085901,4462.169746534259,low
random,3476.7356176578915,3867.028952452587,low
random,4322.634572935442,4665.979012692764,low
random,3125.3374427159933,3871.062541547144,low
random,3723.472643719301,4070.279537445691,low
random,4297.455005291488,4545.143030403415,low
random,3634.56164407062,4009.405788675125,low
random,4217.696024891146,4496.344035899383,low
random,4836.703925444331,5797.768854570124,low
random,3688.439821902343,4149.600251161755,low
random,3464.613990916622,3718.28888947182,low
random,3833.7604943170754,4234.974046775722,low
random,4640.290152830473,5012.519154089154,low
random,4722.196001416213,5421.999888637103,low
random,4202.49667094917,4613.955836473266,low
random,4495.756571697183,4740.8986831459915,low
random,3340.5454617854725,3753.181287964526,low
random,6554.163239650743,6943.372540641663,low
random,3681.5924521646184,4772.558608952269,low
random,4416.320882752617,4842.179124392802,low
random,4173.676137516412,4442.113845773274,low
random,2949.4164989162,3311.649427534867,low
random,5214.548107568939,5558.682428577682,low
random,4438.542137704862,5307.389796718664,low
random,4475.188716374681,4821.505835962133,low
random,5307.868213692449,5560.671962769469,low
random,3269.9383727800696,3725.407914964482,low
random,2358.49931995995,2676.5851528855274,low
random,4342.094229562713,5146.2214540911955,low
random,3664.618979294006,4081.4026143150404,low
random,3391.7263684114378,3628.2850941302895,low
random,3531.1654733416663,4057.307606269067,low
random,3675.7904394394263,3985.9067060172674,low
random,4676.5954898177015,5501.085355658201,low
random,3915.873604862624,4291.16011793178,low
random,4097.248713483792,4321.065539640607,low
random,2427.7224828930694,2848.4929018391995,low
random,3454.1469796822203,3801.65851804227,low
random,4609.516258076073,5705.925717744045,low
random,3818.042693190455,4186.412572079804,low
random,4743.193094658263,5032.5934036074905,low
random,4426.167717700467,4744.746185401222,low
random,5603.524099946472,5939.055584173417,low
random,4593.726131452413,5462.348582384177,low
random,4080.7275086631553,4402.707895997359,low
random,4633.639542422041,4907.2673271633685,low
random,2716.5898662189065,3103.086940832436,low
random,5022.208555702604,5387.499617839465,low
random,4950.9194467848565,5751.118272593711,low
random,4381.833130549044,4847.59044302252,low
random,4481.437048909082,4723.733730221284,low
random,3621.8939332619116,4142.46120363893,low
random,4832.235236703103,5110.165663203981,low
random,3556.5436722470513,4343.892020212952,low
random,4105.767410253717,4438.483116568532,low
random,4406.380552621158,4650.886601569597,low
random,3272.030673569172,3635.643838417658,low
random,3995.7438783205403,4343.540016655752,low
random,4131.535811965822,4922.7011512180325,low
random,4458.155679716542,4821.604773021594,low
random,3265.2869244903127,3510.029334769468,low
random,3181.829160298825,3583.2089804160587,low
random,3039.514823953958,3340.6458343229096,low
random,4810.230795244585,5667.410715048434,low
random,4577.489222850141,5066.207293554558,low
random,3641.559152395877,3911.063386223861,low
random,4012.3571876709816,4449.490621318488,low
random,3157.7449926109825,3499.897172521334,low
random,4646.886484568738,5404.6211954897735,low
random,5604.70938418218,5932.533003008924,low
random,3450.1578300064198,3687.5125392011832,low
random,2911.370095588983,3337.116835806635,low
random,4157.097258879841,4425.96102263988,low
random,3730.073910345474,4547.698713316349,low
random,4731.3572973426635,5110.916259548743,low
random,3712.4494167264224,3956.46563026862,low
random,3731.9272780767865,4137.3148923681,low
random,3901.6429129609764,4186.934368788381,low
random,4667.626669416489,5511.781684044079,low
random,5286.449010651057,5648.841467300488,low
random,3526.671342439613,3758.5329761565663,low
random,3360.0082189205623,3879.96665279835,low
random,3784.155694520983,4082.2713556952076,low
random,4372.731975337815,5164.124684406328,low
random,4033.2929184487016,4458.9623061382445,low
random,4255.499508503876,4572.801217123633,low
random,3744.789978058736,4133.800745274988,low
random,4988.492941281156,5321.02109700744,low
random,4374.693810173476,5251.6671427591355,low
random,2754.8107817393397,3102.791196926599,low
random,4237.119835951757,4475.175253259367,low
random,3692.500819898159,4079.9138570286086,low
random,3268.986518475215,3607.190103568253,low
random,3970.090209393546,4788.231755592977,low
random,3816.3030709275126,4172.81955701363,low
random,3877.576844285126,4124.093412238639,low
random,3753.465109200269,4166.946134006746,low
random,4431.147597329799,4762.214265814284,low
random,4235.362563879956,5128.268132307057,low
random,4489.4084144747185,4867.703268327517,low
random,4497.475532357645,4738.8019677309785,low
random,3285.108544231948,3671.3210903617146,low
random,4027.1747888535024,4397.68742439372,low
random,4730.941265150663,5742.745619983136,low
random,4086.802494785186,4455.883101927728,low
random,3745.3007863447388,4000.2067505082814,low
random,3276.2982906331467,3679.2786482421216,low
random,4003.6779680411564,4272.905298940401,low
random,4003.9341682364166,4950.462879733532,low
random,5212.307065078272,5657.20865290759,low
random,5122.098764668165,5362.206002214691,low
random,3799.0384991909305,4205.166624433128,low
random,4700.733344708539,4997.562872180715,low
random,4565.465740210399,5292.457183997496,low
random,3867.2799367920957,4236.97015536658,low
random,3142.271121221782,3385.7712966101826,low
random,3610.8428382190577,4007.644767644233,low
random,3525.5652525926316,3818.4232514740434,low
random,4716.573462473263,5523.54170760361,low
random,5113.099675546679,5461.828119457699,low
random,3441.65398426582,3679.8806790896924,low
random,3802.986553985523,4239.24611009931,low
random,4136.486884298456,4425.918045740342,low
random,4190.494417497058,5178.402044558665,low
random,5329.948946604488,5748.26390316349,low
random,5310.0515293142025,5538.460262939101,low
random,3669.5547697835023,4063.2671757750068,low
random,4697.616675458756,5004.871043254156,low
random,4481.806428295857,5380.942737251613,low
random,4189.579201498168,4573.0102106180275,low
random,4117.592367610462,4309.225624023122,low
random,2417.8026656267284,2784.7089849559125,low
random,5602.228681593928,5957.0223976211855,low
random,3626.9258015697988,4621.143177564954,low
random,4081.5494869509334,4440.620011815787,low
random,4109.123749897191,4333.423817517585,low
random,3611.976797135682,4133.214428321866,low
random,4938.659875639236,5234.37273285049,low
random,4501.470725410161,5416.512653121865,low
random,3957.009354740315,4342.725140383134,low
random,5453.58176072358,5699.09682237418,low
random,3139.8665511450135,3543.26299189782,low
random,3145.775997106881,3430.312114612665,low
random,3295.9507238560946,3943.991424123058,low
random,3684.1223711733155,4071.1952963631484,low
random,3318.5297669564075,3531.9658435145393,low
random,3473.914807043014,3835.4594739214517,low
random,3655.8865176228105,4019.8109973114915,low
random,3485.100753841399,4325.123337897123,low
random,4371.334001718809,4740.729125984944,low
random,4779.89473763535,5058.445490560727,low
random,3135.7458461375372,3573.7387019395683,low
random,4456.8983538738885,4861.760890775593,low
random,3917.6300518571566,4769.266189679096,low
random,4067.7129360308395,4502.863596578827,low
random,4941.71010257573,5166.375967263011,low
random,2926.9297969601935,3391.6844846617896,low
random,4613.134151794407,4955.236545893567,low
random,3463.483058023842,4340.1317779959645,low
random,2985.545513925601,3285.916058873292,low
random,3766.952367525088,3978.951471575303,low
random,4345.694023419328,4761.095661237137,low
random,3251.0419269434997,3527.011826574104,low
random,3942.2396127685724,4769.726061953843,low
random,4460.9771045041525,4870.115140114736,low
random,3787.1628337185593,4042.301959016826,low
random,2737.5089669988183,3197.855153299519,low
random,5011.901798664499,5367.611623049015,low
random,3666.617104439946,4455.169865047821,low
random,3783.782123953957,4174.716307640483,low
random,3566.390477975173,3847.282898960635,low
random,3269.3755981742797,3633.5092016602866,low
random,3483.718056738557,3813.0215423079208,low
random,4188.589918968954,5059.286657203804,low
random,3426.354766783725,3848.2089750371815,low
random,4093.068111972332,4300.909709227853,low
random,2849.570229722654,3283.8384827362206,low
random,2948.0173108986223,3317.9403572989395,low
random,4357.234150287446,5231.149504220812,low
random,3624.5536899881276,3993.08995673107,low
random,3669.145470602844,3902.1022609241772,low
random,3079.7313375048025,3595.7307872331585,low
random,4425.63789396189,4750.356284038338,low
random,3612.356078534227,4290.497261584564,low
random,4037.480773270009,4432.251865877421,low
random,4839.055793175029,5119.983366930741,low
random,3488.6731848972972,3886.46238586033,low
random,3965.7358192040874,4319.036994861672,low
random,3848.4090361522976,4624.186781664495,low
random,4620.5293631509485,5126.578794163652,low
random,4601.323695300907,4886.751039221417,low
static-high,5774.489514206314,6158.398977512494,low
static-high,6101.670970900228,6440.262984139728,low
static-high,6550.887421515446,7319.433352754917,low
static-high,7263.317819674269,7684.985903905006,low
static-high,6768.709438692912,7030.8378887566505,low
static-high,5885.527928055521,6409.5718874179,low
static-high,6017.194606531019,6318.023290458019,low
static-high,6624.7821996150615,7303.854472924722,low
static-high,7413.066280900352,7902.811909429962,low
static-high,6704.538375129664,6937.98993951446,low
static-high,5778.87064814784,6331.805793036474,low
