load_regime,p95_latency_us,p99_latency_us,p999_latency_us,cvar95_us,cvar99_us,cvar999_us
high,21714.710731172217,47696.80122749821,49111.15979202668,30831.34655122297,47696.80122749821,49197.53225338825
low,6610.615147024431,12484.087221855896,41445.06411298539,11790.68339538669,12484.087221855896,41773.56821893979
medium,14202.332407599944,22485.448170419604,41937.543493424935,21258.31549062258,22485.448170419604,42051.962392370566
saturation,28881.405378544983,55994.79525173786,56902.76692222848,39929.43346340444,55994.79525173786,56975.69036816804
