interference_regime,load_regime,compared_to,sit_cvar99,baseline_cvar99,cvar_improvement_pct,sit_effective_goodput_rps,baseline_effective_goodput_rps,goodput_improvement_pct,sit_catastrophes,baseline_catastrophes,fewer_catastrophes,sit_dominates
adversarial,saturation,binpack-greedy,25145.69,44609.65,43.63,10517.97,4338.33,142.44,0,0,True,True
adversarial,saturation,tail-greedy,25145.69,26597.29,5.46,10517.97,10443.18,0.72,0,0,True,True
adversarial,saturation,similarity-avoidance,25145.69,31793.46,20.91,10517.97,8254.85,27.42,0,0,True,True
adversarial,saturation,admission-only,25145.69,36982.28,32.01,10517.97,6006.22,75.12,0,0,True,True
adversarial,saturation,oracle,25145.69,27060.19,7.07,10517.97,10419.7,0.94,0,0,True,True
adversarial,saturation,static-low,25145.69,22302.98,-12.75,10517.97,8003.63,31.42,0,0,True,False
adversarial,saturation,static-high,25145.69,49557.99,49.26,10517.97,6635.92,58.5,0,0,True,True
adversarial,saturation,k8s-hpa,25145.69,31949.79,21.3,10517.97,8692.02,21.01,0,0,True,True
adversarial,saturation,k8s-default,25145.69,28639.7,12.2,10517.97,8805.1,19.45,0,0,True,True
adversarial,saturation,slurm-fcfs,25145.69,40539.47,37.97,10517.97,5786.19,81.78,0,0,True,True
adversarial,saturation,triton-proxy,25145.69,48776.75,48.45,10517.97,4383.48,139.95,0,0,True,True
drifting,high,SIT-no-IRBS,54838.35,59632.07,8.04,2919.33,2353.58,24.04,0,0,True,True
drifting,high,SIT-no-safety,54838.35,59716.97,8.17,2919.33,3512.5,-16.89,0,0,True,False
drifting,high,SIT-no-admission,54838.35,57169.7,4.08,2919.33,3244.32,-10.02,0,0,True,False
drifting,high,partition,54838.35,49229.63,-11.39,2919.33,1337.2,118.32,0,0,True,False
drifting,high,spread,54838.35,52898.85,-3.67,2919.33,1684.64,73.29,0,0,True,True
drifting,high,random,54838.35,60692.23,9.65,2919.33,2270.54,28.57,0,0,True,True
drifting,high,round-robin,54838.35,60541.28,9.42,2919.33,2313.8,26.17,0,0,True,True
drifting,high,binpack-greedy,54838.35,64722.43,15.27,2919.33,1997.98,46.11,0,0,True,True
drifting,high,tail-greedy,54838.35,54820.15,-0.03,2919.33,2920.25,-0.03,0,0,True,False
drifting,high,similarity-avoidance,54838.35,56754.82,3.38,2919.33,2645.67,10.34,0,0,True,True
drifting,high,admission-only,54838.35,60731.88,9.7,2919.33,2333.91,25.08,0,0,True,True
drifting,high,oracle,54838.35,54825.13,-0.02,2919.33,2919.77,-0.01,0,0,True,False
drifting,high,static-low,54838.35,51304.81,-6.89,2919.33,1966.77,48.43,0,0,True,False
drifting,high,static-high,54838.35,69217.87,20.77,2919.33,3119.59,-6.42,0,0,True,False
drifting,high,k8s-hpa,54838.35,57069.27,3.91,2919.33,3090.15,-5.53,0,0,True,False
drifting,high,k8s-default,54838.35,55690.76,1.53,2919.33,2861.7,2.01,0,0,True,True
drifting,high,slurm-fcfs,54838.35,60490.4,9.34,2919.33,2341.27,24.69,0,0,True,True
drifting,high,triton-proxy,54838.35,65817.31,16.68,2919.33,1954.22,49.39,0,0,True,True
drifting,low,SIT-no-IRBS,18409.16,19986.72,7.89,2956.66,2370.87,24.71,0,0,True,True
drifting,low,SIT-no-safety,18409.16,20054.34,8.2,2956.66,3534.06,-16.34,0,0,True,False
drifting,low,SIT-no-admission,18409.16,19206.16,4.15,2956.66,3272.87,-9.66,0,0,True,False
drifting,low,partition,18409.16,16533.39,-11.35,2956.66,1443.27,104.86,0,0,True,False
drifting,low,spread,18409.16,17847.94,-3.14,2956.66,1749.16,69.03,0,0,True,True
drifting,low,random,18409.16,20310.7,9.36,2956.66,2315.26,27.7,0,0,True,True
drifting,low,round-robin,18409.16,20327.79,9.44,2956.66,2327.59,27.03,0,0,True,True
drifting,low,binpack-greedy,18409.16,21732.04,15.29,2956.66,2006.06,47.39,0,0,True,True
drifting,low,tail-greedy,18409.16,18409.64,0.0,2956.66,2956.75,-0.0,0,0,True,False
drifting,low,similarity-avoidance,18409.16,19060.56,3.42,2956.66,2671.11,10.69,0,0,True,True
drifting,low,admission-only,18409.16,20285.96,9.25,2956.66,2310.32,27.98,0,0,True,True
drifting,low,oracle,18409.16,18411.17,0.01,2956.66,2956.03,0.02,0,0,True,True
drifting,low,static-low,18409.16,17238.24,-6.79,2956.66,2030.47,45.61,0,0,True,False
drifting,low,static-high,18409.16,23237.2,20.78,2956.66,3127.73,-5.47,0,0,True,False
drifting,low,k8s-hpa,18409.16,19171.95,3.98,2956.66,3120.46,-5.25,0,0,True,False
drifting,low,k8s-default,18409.16,18700.19,1.56,2956.66,2897.5,2.04,0,0,True,True
drifting,low,slurm-fcfs,18409.16,20314.92,9.38,2956.66,2355.64,25.51,0,0,True,True
drifting,low,triton-proxy,18409.16,22103.26,16.71,2956.66,1961.71,50.72,0,0,True,True
drifting,medium,SIT-no-IRBS,36652.55,39681.35,7.63,2921.44,2395.98,21.93,0,0,True,True
drifting,medium,SIT-no-safety,36652.55,39931.63,8.21,2921.44,3510.93,-16.79,0,0,True,False
drifting,medium,SIT-no-admission,36652.55,38227.79,4.12,2921.44,3245.48,-9.98,0,0,True,False
drifting,medium,partition,36652.55,32920.03,-11.34,2921.44,1345.31,117.16,0,0,True,False
drifting,medium,spread,36652.55,35386.81,-3.58,2921.44,1662.81,75.69,0,0,True,True
drifting,medium,random,36652.55,40614.06,9.75,2921.44,2263.92,29.04,0,0,True,True
drifting,medium,round-robin,36652.55,40465.08,9.42,2921.44,2313.03,26.3,0,0,True,True
drifting,medium,binpack-greedy,36652.55,43266.62,15.29,2921.44,1996.36,46.34,0,0,True,True
drifting,medium,tail-greedy,36652.55,36650.69,-0.01,2921.44,2920.79,0.02,0,0,True,True
drifting,medium,similarity-avoidance,36652.55,37943.41,3.4,2921.44,2646.64,10.38,0,0,True,True
drifting,medium,admission-only,36652.55,40708.69,9.96,2921.44,2297.61,27.15,0,0,True,True
drifting,medium,oracle,36652.55,36651.89,-0.0,2921.44,2921.94,-0.02,0,0,True,False
