interference_regime,load_regime,compared_to,sit_cvar99,baseline_cvar99,cvar_improvement_pct,sit_effective_goodput_rps,baseline_effective_goodput_rps,goodput_improvement_pct,sit_catastrophes,baseline_catastrophes,fewer_catastrophes,sit_dominates
iid_noise,medium,partition,6029.21,2314.71,-160.47,11644.79,9564.9,21.74,0,0,True,False
iid_noise,medium,spread,6029.21,4904.64,-22.93,11644.79,7726.04,50.72,0,0,True,False
iid_noise,medium,random,6029.21,9791.31,38.42,11644.79,7140.09,63.09,0,0,True,True
iid_noise,medium,round-robin,6029.21,9826.67,38.64,11644.79,7135.02,63.21,0,0,True,True
iid_noise,medium,binpack-greedy,6029.21,12601.97,52.16,11644.79,5338.21,118.14,0,0,True,True
iid_noise,medium,tail-greedy,6029.21,6034.79,0.09,11644.79,11642.2,0.02,0,0,True,True
iid_noise,medium,similarity-avoidance,6029.21,7315.12,17.58,11644.79,9599.78,21.3,0,0,True,True
iid_noise,medium,admission-only,6029.21,9872.66,38.93,11644.79,7088.72,64.27,0,0,True,True
iid_noise,medium,oracle,6029.21,6037.13,0.13,11644.79,11637.99,0.06,0,0,True,True
iid_noise,medium,static-low,6029.21,3704.53,-62.75,11644.79,10306.48,12.99,0,0,True,False
iid_noise,medium,static-high,6029.21,15591.39,61.33,11644.79,7499.12,55.28,0,0,True,True
iid_noise,medium,k8s-hpa,6029.21,7535.03,19.98,11644.79,10860.59,7.22,0,0,True,True
iid_noise,medium,k8s-default,6029.21,6606.78,8.74,11644.79,10763.76,8.19,0,0,True,True
iid_noise,medium,slurm-fcfs,6029.21,9818.06,38.59,11644.79,7138.36,63.13,0,0,True,True
iid_noise,medium,triton-proxy,6029.21,13338.37,54.8,11644.79,5170.01,125.24,0,0,True,True
iid_noise,saturation,SIT-no-IRBS,11824.55,16027.94,26.23,11596.65,8607.44,34.73,0,0,True,True
iid_noise,saturation,SIT-no-safety,11824.55,18349.44,35.56,11596.65,10985.17,5.57,0,0,True,True
iid_noise,saturation,SIT-no-admission,11824.55,14966.31,20.99,11596.65,11319.84,2.45,0,0,True,True
iid_noise,saturation,partition,11824.55,4417.58,-167.67,11596.65,9344.12,24.11,0,0,True,False
iid_noise,saturation,spread,11824.55,9272.14,-27.53,11596.65,7969.49,45.51,0,0,True,False
iid_noise,saturation,random,11824.55,19325.55,38.81,11596.65,7137.71,62.47,0,0,True,True
iid_noise,saturation,round-robin,11824.55,19423.53,39.12,11596.65,7127.47,62.7,0,0,True,True
iid_noise,saturation,binpack-greedy,11824.55,24978.17,52.66,11596.65,5339.45,117.19,0,0,True,True
iid_noise,saturation,tail-greedy,11824.55,11835.96,0.1,11596.65,11597.4,-0.01,0,0,True,False
iid_noise,saturation,similarity-avoidance,11824.55,14413.65,17.96,11596.65,9571.2,21.16,0,0,True,True
iid_noise,saturation,admission-only,11824.55,19018.74,37.83,11596.65,7205.45,60.94,0,0,True,True
iid_noise,saturation,oracle,11824.55,11839.27,0.12,11596.65,11598.77,-0.02,0,0,True,False
iid_noise,saturation,static-low,11824.55,7191.85,-64.42,11596.65,10200.48,13.69,0,0,True,False
iid_noise,saturation,static-high,11824.55,30945.69,61.79,11596.65,7507.89,54.46,0,0,True,True
iid_noise,saturation,k8s-hpa,11824.55,14837.68,20.31,11596.65,10834.39,7.04,0,0,True,True
iid_noise,saturation,k8s-default,11824.55,12985.52,8.94,11596.65,10728.84,8.09,0,0,True,True
iid_noise,saturation,slurm-fcfs,11824.55,19389.06,39.01,11596.65,7133.01,62.58,0,0,True,True
iid_noise,saturation,triton-proxy,11824.55,26421.42,55.25,11596.65,5173.22,124.17,0,0,True,True
partial_obs,high,SIT-no-IRBS,28413.31,31569.94,10.0,5687.45,4735.74,20.1,0,0,True,True
partial_obs,high,SIT-no-safety,28413.31,32413.23,12.34,5687.45,6466.83,-12.05,0,0,True,False
partial_obs,high,SIT-no-admission,28413.31,28928.88,1.78,5687.45,6157.7,-7.64,0,0,True,False
partial_obs,high,partition,28413.31,22869.35,-24.24,5687.45,2552.68,122.8,0,0,True,False
partial_obs,high,spread,28413.31,26529.71,-7.1,5687.45,3333.77,70.6,0,0,True,False
partial_obs,high,random,28413.31,32935.51,13.73,5687.45,4250.63,33.8,0,0,True,True
partial_obs,high,round-robin,28413.31,32321.01,12.09,5687.45,4263.51,33.4,0,0,True,True
partial_obs,high,binpack-greedy,28413.31,36448.03,22.04,5687.45,3473.01,63.76,0,0,True,True
partial_obs,high,tail-greedy,28413.31,27604.37,-2.93,5687.45,5698.48,-0.19,0,0,True,False
partial_obs,high,similarity-avoidance,28413.31,28613.22,0.7,5687.45,5333.38,6.64,0,0,True,True
partial_obs,high,admission-only,28413.31,31757.16,10.53,5687.45,4290.99,32.54,0,0,True,True
partial_obs,high,oracle,28413.31,27266.24,-4.21,5687.45,5699.59,-0.21,0,0,True,False
partial_obs,high,static-low,28413.31,24807.13,-14.54,5687.45,3862.77,47.24,0,0,True,False
partial_obs,high,static-high,28413.31,42781.12,33.58,5687.45,5273.97,7.84,0,0,True,True
partial_obs,high,k8s-hpa,28413.31,29756.58,4.51,5687.45,5967.44,-4.69,0,0,True,False
partial_obs,high,k8s-default,28413.31,27990.86,-1.51,5687.45,5612.52,1.33,0,0,True,True
partial_obs,high,slurm-fcfs,28413.31,32468.15,12.49,5687.45,4369.47,30.16,0,0,True,True
partial_obs,high,triton-proxy,28413.31,35711.28,20.44,5687.45,3555.38,59.97,0,0,True,True
partial_obs,low,SIT-no-IRBS,10941.24,12099.36,9.57,5779.15,4802.8,20.33,0,0,True,True
partial_obs,low,SIT-no-safety,10941.24,12250.13,10.68,5779.15,6533.17,-11.54,0,0,True,False
partial_obs,low,SIT-no-admission,10941.24,12179.7,10.17,5779.15,6222.2,-7.12,0,0,True,False
partial_obs,low,partition,10941.24,9445.78,-15.83,5779.15,2702.35,113.86,0,0,True,False
partial_obs,low,spread,10941.24,10595.87,-3.26,5779.15,3422.8,68.84,0,0,True,True
partial_obs,low,random,10941.24,12688.19,13.77,5779.15,4283.78,34.91,0,0,True,True
partial_obs,low,round-robin,10941.24,13068.98,16.28,5779.15,4296.8,34.5,0,0,True,True
partial_obs,low,binpack-greedy,10941.24,14733.1,25.74,5779.15,3493.47,65.43,0,0,True,True
partial_obs,low,tail-greedy,10941.24,10679.51,-2.45,5779.15,5784.8,-0.1,0,0,True,False
partial_obs,low,similarity-avoidance,10941.24,11066.22,1.13,5779.15,5421.57,6.6,0,0,True,True
partial_obs,low,admission-only,10941.24,13131.75,16.68,5779.15,4280.3,35.02,0,0,True,True
partial_obs,low,oracle,10941.24,12617.03,13.28,5779.15,5763.38,0.27,0,0,True,True
partial_obs,low,static-low,10941.24,10213.31,-7.13,5779.15,3961.08,45.9,0,0,True,False
partial_obs,low,static-high,10941.24,16059.91,31.87,5779.15,5303.92,8.96,0,0,True,True
partial_obs,low,k8s-hpa,10941.24,10966.73,0.23,5779.15,6054.58,-4.55,0,0,True,False
partial_obs,low,k8s-default,10941.24,11344.37,3.55,5779.15,5705.53,1.29,0,0,True,True
partial_obs,low,slurm-fcfs,10941.24,12897.5,15.17,5779.15,4415.74,30.88,0,0,True,True
partial_obs,low,triton-proxy,10941.24,14655.79,25.35,5779.15,3576.55,61.58,0,0,True,True
partial_obs,medium,SIT-no-IRBS,20207.81,24818.81,18.58,5691.06,4714.2,20.72,0,0,True,True
partial_obs,medium,SIT-no-safety,20207.81,23141.14,12.68,5691.06,6466.69,-11.99,0,0,True,False
partial_obs,medium,SIT-no-admission,20207.81,21285.42,5.06,5691.06,6158.72,-7.59,0,0,True,False
partial_obs,medium,partition,20207.81,17093.61,-18.22,5691.06,2576.8,120.86,0,0,True,False
partial_obs,medium,spread,20207.81,19053.64,-6.06,5691.06,3368.78,68.94,0,0,True,False
partial_obs,medium,random,20207.81,24148.12,16.32,5691.06,4243.36,34.12,0,0,True,True
partial_obs,medium,round-robin,20207.81,23481.93,13.94,5691.06,4263.68,33.48,0,0,True,True
partial_obs,medium,binpack-greedy,20207.81,26854.96,24.75,5691.06,3469.04,64.05,0,0,True,True
partial_obs,medium,tail-greedy,20207.81,19744.85,-2.34,5691.06,5694.62,-0.06,0,0,True,False
partial_obs,medium,similarity-avoidance,20207.81,20531.49,1.58,5691.06,5345.16,6.47,0,0,True,True
partial_obs,medium,admission-only,20207.81,22864.4,11.62,5691.06,4245.95,34.04,0,0,True,True
partial_obs,medium,oracle,20207.81,20484.52,1.35,5691.06,5690.25,0.01,0,0,True,True
partial_obs,medium,static-low,20207.81,17831.95,-13.32,5691.06,3870.49,47.04,0,0,True,False
partial_obs,medium,static-high,20207.81,29242.37,30.9,5691.06,5277.07,7.85,0,0,True,True
partial_obs,medium,k8s-hpa,20207.81,22039.55,8.31,5691.06,5971.72,-4.7,0,0,True,False
partial_obs,medium,k8s-default,20207.81,20029.79,-0.89,5691.06,5614.74,1.36,0,0,True,True
partial_obs,medium,slurm-fcfs,20207.81,23310.92,13.31,5691.06,4371.44,30.19,0,0,True,True
partial_obs,medium,triton-proxy,20207.81,29124.97,30.62,5691.06,3547.43,60.43,0,0,True,True
partial_obs,saturation,SIT-no-IRBS,34432.79,42255.27,18.51,5682.24,4799.87,18.38,0,0,True,True
partial_obs,saturation,SIT-no-safety,34432.79,41561.35,17.15,5682.24,6466.4,-12.13,0,0,True,False
partial_obs,saturation,SIT-no-admission,34432.79,37449.28,8.05,5682.24,6163.06,-7.8,0,0,True,False
partial_obs,saturation,partition,34432.79,28298.86,-21.68,5682.24,2525.24,125.02,0,0,True,False
partial_obs,saturation,spread,34432.79,31783.15,-8.34,5682.24,3310.29,71.65,0,0,True,False
partial_obs,saturation,random,34432.79,41539.88,17.11,5682.24,4170.97,36.23,0,0,True,True
partial_obs,saturation,round-robin,34432.79,43609.12,21.04,5682.24,4256.37,33.5,0,0,True,True
partial_obs,saturation,binpack-greedy,34432.79,48144.15,28.48,5682.24,3475.61,63.49,0,0,True,True
partial_obs,saturation,tail-greedy,34432.79,34621.07,0.54,5682.24,5694.52,-0.22,0,0,True,False
partial_obs,saturation,similarity-avoidance,34432.79,34685.97,0.73,5682.24,5343.93,6.33,0,0,True,True
partial_obs,saturation,admission-only,34432.79,41309.08,16.65,5682.24,4264.03,33.26,0,0,True,True
partial_obs,saturation,oracle,34432.79,33565.69,-2.58,5682.24,5693.89,-0.2,0,0,True,False
partial_obs,saturation,static-low,34432.79,29912.35,-15.11,5682.24,3873.74,46.69,0,0,True,False
partial_obs,saturation,static-high,34432.79,52755.11,34.73,5682.24,5286.53,7.49,0,0,True,True
partial_obs,saturation,k8s-hpa,34432.79,37154.49,7.33,5682.24,5972.64,-4.86,0,0,True,False
partial_obs,saturation,k8s-default,34432.79,34833.79,1.15,5682.24,5609.64,1.29,0,0,True,True
partial_obs,saturation,slurm-fcfs,34432.79,40699.22,15.4,5682.24,4376.96,29.82,0,0,True,True
partial_obs,saturation,triton-proxy,34432.79,47421.69,27.39,5682.24,3554.26,59.87,0,0,True,True
structured,high,SIT-no-IRBS,8767.57,12554.25,30.16,11307.15,8240.24,37.22,0,0,True,True
structured,high,SIT-no-safety,8767.57,14562.87,39.8,11307.15,10418.23,8.53,0,0,True,True
structured,high,SIT-no-admission,8767.57,11829.1,25.88,11307.15,10837.89,4.33,0,0,True,True
structured,high,partition,8767.57,3386.29,-158.91,11307.15,9396.5,20.33,0,0,True,False
structured,high,spread,8767.57,7692.1,-13.98,11307.15,7469.7,51.37,0,0,True,False
structured,high,random,8767.57,15674.4,44.06,11307.15,6701.86,68.72,0,0,True,True
structured,high,round-robin,8767.57,15860.06,44.72,11307.15,6631.2,70.51,0,0,True,True
structured,high,binpack-greedy,8767.57,21479.19,59.18,11307.15,4960.91,127.92,0,0,True,True
structured,high,tail-greedy,8767.57,9330.91,6.04,11307.15,11163.33,1.29,0,0,True,True
structured,high,similarity-avoidance,8767.57,11039.4,20.58,11307.15,9493.07,19.11,0,0,True,True
structured,high,admission-only,8767.57,15846.98,44.67,11307.15,6695.74,68.87,0,0,True,True
structured,high,oracle,8767.57,9317.26,5.9,11307.15,11160.18,1.32,0,0,True,True
structured,high,static-low,8767.57,6307.33,-39.01,11307.15,9338.28,21.08,0,0,True,False
structured,high,static-high,8767.57,25532.27,65.66,11307.15,6904.07,63.78,0,0,True,True
structured,high,k8s-hpa,8767.57,13758.54,36.28,11307.15,9186.0,23.09,0,0,True,True
structured,high,k8s-default,8767.57,11619.47,24.54,11307.15,9642.03,17.27,0,0,True,True
structured,high,slurm-fcfs,8767.57,16150.19,45.71,11307.15,6418.08,76.18,0,0,True,True
structured,high,triton-proxy,8767.57,19684.92,55.46,11307.15,5076.24,122.75,0,0,True,True
structured,low,SIT-no-IRBS,3001.63,4324.64,30.59,11657.88,8285.39,40.7,0,0,True,True
structured,low,SIT-no-safety,3001.63,4931.88,39.14,11657.88,10586.81,10.12,0,0,True,True
structured,low,SIT-no-admission,3001.63,4014.2,25.22,11657.88,11064.18,5.37,0,0,True,True
structured,low,partition,3001.63,1200.64,-150.0,11657.88,10566.63,10.33,0,0,True,False
structured,low,spread,3001.63,2597.58,-15.55,11657.88,7856.83,48.38,0,0,True,False
structured,low,random,3001.63,5278.14,43.13,11657.88,6860.33,69.93,0,0,True,True
structured,low,round-robin,3001.63,5361.45,44.01,11657.88,6734.49,73.11,0,0,True,True
structured,low,binpack-greedy,3001.63,7253.05,58.62,11657.88,5013.15,132.55,0,0,True,True
structured,low,tail-greedy,3001.63,3178.24,5.56,11657.88,11489.24,1.47,0,0,True,True
structured,low,similarity-avoidance,3001.63,3754.8,20.06,11657.88,9720.91,19.93,0,0,True,True
structured,low,admission-only,3001.63,5418.32,44.6,11657.88,6677.47,74.59,0,0,True,True
structured,low,oracle,3001.63,3186.89,5.81,11657.88,11479.51,1.55,0,0,True,True
structured,low,static-low,3001.63,2169.97,-38.33,11657.88,9872.68,18.08,0,0,True,False
structured,low,static-high,3001.63,8596.74,65.08,11657.88,6953.52,67.65,0,0,True,True
structured,low,k8s-hpa,3001.63,4660.61,35.6,11657.88,9376.55,24.33,0,0,True,True
structured,low,k8s-default,3001.63,3953.47,24.08,11657.88,9891.67,17.86,0,0,True,True
structured,low,slurm-fcfs,3001.63,5466.6,45.09,11657.88,6513.47,78.98,0,0,True,True
structured,low,triton-proxy,3001.63,6643.62,54.82,11657.88,5128.92,127.3,0,0,True,True
structured,medium,SIT-no-IRBS,5910.04,8408.09,29.71,11349.13,8314.86,36.49,0,0,True,True
structured,medium,SIT-no-safety,5910.04,9780.74,39.57,11349.13,10434.88,8.76,0,0,True,True
structured,medium,SIT-no-admission,5910.04,7953.37,25.69,11349.13,10856.16,4.54,0,0,True,True
structured,medium,partition,5910.04,2323.03,-154.41,11349.13,9558.88,18.73,0,0,True,False
structured,medium,spread,5910.04,5030.97,-17.47,11349.13,7611.8,49.1,0,0,True,False
structured,medium,random,5910.04,10522.43,43.83,11349.13,6646.05,70.76,0,0,True,True
structured,medium,round-robin,5910.04,10632.5,44.42,11349.13,6640.82,70.9,0,0,True,True
structured,medium,binpack-greedy,5910.04,14393.39,58.94,11349.13,4963.04,128.67,0,0,True,True
structured,medium,tail-greedy,5910.04,6280.96,5.91,11349.13,11202.42,1.31,0,0,True,True
structured,medium,similarity-avoidance,5910.04,7416.68,20.31,11349.13,9519.52,19.22,0,0,True,True
structured,medium,admission-only,5910.04,10646.98,44.49,11349.13,6640.08,70.92,0,0,True,True
structured,medium,oracle,5910.04,6274.97,5.82,11349.13,11200.35,1.33,0,0,True,True
structured,medium,static-low,5910.04,4265.86,-38.54,11349.13,9412.63,20.57,0,0,True,False
structured,medium,static-high,5910.04,17098.75,65.44,11349.13,6902.97,64.41,0,0,True,True
structured,medium,k8s-hpa,5910.04,9251.83,36.12,11349.13,9202.76,23.32,0,0,True,True
structured,medium,k8s-default,5910.04,7819.56,24.42,11349.13,9670.76,17.36,0,0,True,True
structured,medium,slurm-fcfs,5910.04,10835.9,45.46,11349.13,6424.2,76.66,0,0,True,True
structured,medium,triton-proxy,5910.04,13201.32,55.23,11349.13,5078.79,123.46,0,0,True,True
structured,saturation,SIT-no-IRBS,11590.22,16638.1,30.34,11303.33,8231.29,37.32,0,0,True,True
structured,saturation,SIT-no-safety,11590.22,19316.64,40.0,11303.33,10427.73,8.4,0,0,True,True
structured,saturation,SIT-no-admission,11590.22,15672.57,26.05,11303.33,10840.38,4.27,0,0,True,True
structured,saturation,partition,11590.22,4415.95,-162.46,11303.33,9344.23,20.97,0,0,True,False
structured,saturation,spread,11590.22,9948.05,-16.51,11303.33,7392.38,52.91,0,0,True,False
structured,saturation,random,11590.22,20734.38,44.1,11303.33,6721.66,68.16,0,0,True,True
structured,saturation,round-robin,11590.22,21040.46,44.91,11303.33,6636.58,70.32,0,0,True,True
structured,saturation,binpack-greedy,11590.22,28557.61,59.41,11303.33,4965.25,127.65,0,0,True,True
structured,saturation,tail-greedy,11590.22,12341.61,6.09,11303.33,11160.52,1.28,0,0,True,True
structured,saturation,similarity-avoidance,11590.22,14616.6,20.71,11303.33,9493.86,19.06,0,0,True,True
structured,saturation,admission-only,11590.22,20494.57,43.45,11303.33,6773.74,66.87,0,0,True,True
structured,saturation,oracle,11590.22,12340.01,6.08,11303.33,11162.97,1.26,0,0,True,True
structured,saturation,static-low,11590.22,8333.54,-39.08,11303.33,9318.65,21.3,0,0,True,False
structured,saturation,static-high,11590.22,33935.62,65.85,11303.33,6911.73,63.54,0,0,True,True
structured,saturation,k8s-hpa,11590.22,18250.81,36.49,11303.33,9190.5,22.99,0,0,True,True
structured,saturation,k8s-default,11590.22,15386.08,24.67,11303.33,9643.14,17.22,0,0,True,True
structured,saturation,slurm-fcfs,11590.22,21431.22,45.92,11303.33,6421.97,76.01,0,0,True,True
structured,saturation,triton-proxy,11590.22,26172.62,55.72,11303.33,5080.88,122.47,0,0,True,True
