metric,policy,baseline,interference_regime,load_regime,mean_diff,ci_lo,ci_hi,p_value,cohens_d,n,q_value,significant
cvar99_us,admission-only,partition,adversarial,medium,10313.569,9202.8284,11476.3264,0.001,1.2566,200,0.003194,True
cvar99_us,oracle,partition,adversarial,medium,4441.0477,3620.5356,5331.4447,0.001,0.6945,200,0.003188,True
cvar99_us,static-low,partition,adversarial,medium,2410.3716,1575.8041,3221.9273,0.001,0.4177,200,0.003578,True
cvar99_us,static-high,partition,adversarial,medium,15671.1593,14655.1346,16756.2628,0.001,2.0553,200,0.00357,True
cvar99_us,k8s-hpa,partition,adversarial,medium,7705.1251,6764.7295,8719.3278,0.001,1.0754,200,0.003563,True
cvar99_us,k8s-default,partition,adversarial,medium,6466.906,5575.9421,7441.3285,0.001,0.9154,200,0.003556,True
cvar99_us,slurm-fcfs,partition,adversarial,medium,10542.7487,9411.2379,11652.4215,0.001,1.2846,200,0.003548,True
cvar99_us,triton-proxy,partition,adversarial,medium,15764.9226,14150.9969,17392.2126,0.001,1.4369,200,0.003463,True
cvar99_us,SIT-safe,partition,adversarial,saturation,7222.1573,3003.5447,11924.8019,0.001,0.216,200,0.003242,True
cvar99_us,SIT-no-IRBS,partition,adversarial,saturation,12149.8966,9303.847,14924.9567,0.001,0.5949,200,0.003236,True
cvar99_us,SIT-no-safety,partition,adversarial,saturation,14646.6534,11503.0403,17434.4303,0.001,0.7013,200,0.006621,True
cvar99_us,SIT-no-admission,partition,adversarial,saturation,12508.1322,9090.6678,16008.6423,0.001,0.4895,200,0.00363,True
cvar99_us,spread,partition,adversarial,saturation,4721.7158,1607.8871,7939.8517,0.001,0.2017,200,0.003716,True
cvar99_us,random,partition,adversarial,saturation,20876.1439,17186.9507,25011.533,0.001,0.73,200,0.003615,True
cvar99_us,round-robin,partition,adversarial,saturation,26087.8008,20525.1019,33012.4619,0.001,0.5769,200,0.003608,True
cvar99_us,binpack-greedy,partition,adversarial,saturation,24375.8678,21426.3009,27142.4957,0.001,1.121,200,0.0036,True
cvar99_us,tail-greedy,partition,adversarial,saturation,4962.1337,2419.1635,7433.4944,0.001,0.2728,200,0.003593,True
cvar99_us,similarity-avoidance,partition,adversarial,saturation,12872.7708,9528.6922,15885.9053,0.001,0.5804,200,0.003585,True
cvar99_us,admission-only,partition,adversarial,saturation,21129.1218,17361.1132,24814.8063,0.001,0.7603,200,0.0037,True
cvar99_us,oracle,partition,adversarial,saturation,6801.0965,3664.3301,9865.472,0.001,0.3168,200,0.00723,True
cvar99_us,static-low,partition,adversarial,saturation,3470.2805,-23.2691,6542.6874,0.027,0.1449,200,0.06196,False
cvar99_us,static-high,partition,adversarial,saturation,30006.4867,26269.2525,33763.8666,0.001,1.1628,200,0.0072,True
cvar99_us,k8s-hpa,partition,adversarial,saturation,15568.315,11799.5425,19575.7157,0.001,0.557,200,0.00717,True
cvar99_us,k8s-default,partition,adversarial,saturation,10639.2413,6994.7267,14539.2609,0.001,0.401,200,0.00714,True
cvar99_us,slurm-fcfs,partition,adversarial,saturation,19597.7258,16473.3814,22891.1245,0.001,0.8033,200,0.007111,True
cvar99_us,triton-proxy,partition,adversarial,saturation,35032.3262,29389.3288,41303.3446,0.001,0.8314,200,0.007082,True
cvar99_us,SIT-safe,partition,drifting,high,5595.1461,5498.1995,5695.6347,0.001,7.6638,200,0.006238,True
cvar99_us,SIT-no-IRBS,partition,drifting,high,10003.0993,9723.5013,10283.732,0.001,4.8446,200,0.006216,True
cvar99_us,SIT-no-safety,partition,drifting,high,10495.7913,10325.2211,10658.0138,0.001,8.6574,200,0.006194,True
cvar99_us,SIT-no-admission,partition,drifting,high,7946.611,7806.0696,8072.4903,0.001,8.2746,200,0.006171,True
cvar99_us,spread,partition,drifting,high,3817.7754,3600.9379,4039.5482,0.001,2.4245,200,0.006149,True
cvar99_us,random,partition,drifting,high,11321.7182,11004.1253,11646.2275,0.001,4.8833,200,0.006996,True
cvar99_us,round-robin,partition,drifting,high,11307.4336,10913.3312,11678.6319,0.001,4.0563,200,0.007322,True
cvar99_us,binpack-greedy,partition,drifting,high,15486.6692,15273.6726,15714.8022,0.001,9.3038,200,0.007291,True
cvar99_us,tail-greedy,partition,drifting,high,5591.6013,5485.7658,5692.5887,0.001,7.5541,200,0.006424,True
cvar99_us,similarity-avoidance,partition,drifting,high,7518.9115,7269.309,7770.914,0.001,4.0,200,0.0064,True
cvar99_us,admission-only,partition,drifting,high,11266.4387,10945.2489,11611.3919,0.001,4.5824,200,0.006672,True
cvar99_us,oracle,partition,drifting,high,5591.7913,5499.8027,5695.8396,0.001,7.584,200,0.006353,True
cvar99_us,static-low,partition,drifting,high,2095.3818,2039.3598,2158.1528,0.001,4.8311,200,0.00633,True
cvar99_us,static-high,partition,drifting,high,19966.8065,19722.3592,20224.9884,0.001,10.2709,200,0.006307,True
cvar99_us,k8s-hpa,partition,drifting,high,7847.682,7584.4213,8119.4989,0.001,3.8366,200,0.006284,True
cvar99_us,k8s-default,partition,drifting,high,6453.3426,6214.4002,6703.7931,0.001,3.8652,200,0.006261,True
cvar99_us,slurm-fcfs,partition,drifting,high,11283.212,10899.9648,11652.7508,0.001,3.9988,200,0.007053,True
cvar99_us,triton-proxy,partition,drifting,high,16569.9716,16035.9985,17107.7939,0.001,4.3418,200,0.006595,True
cvar99_us,SIT-safe,partition,drifting,low,1873.3255,1838.832,1906.3467,0.001,7.6006,200,0.00657,True
cvar99_us,SIT-no-IRBS,partition,drifting,low,3481.163,3374.3854,3585.5526,0.001,4.7455,200,0.006545,True
cvar99_us,SIT-no-safety,partition,drifting,low,3516.2388,3456.2968,3573.0328,0.001,8.5992,200,0.006521,True
cvar99_us,SIT-no-admission,partition,drifting,low,2660.7845,2617.5047,2707.452,0.001,8.0651,200,0.006496,True
cvar99_us,spread,partition,drifting,low,1281.2353,1211.8367,1354.3902,0.001,2.4847,200,0.006472,True
cvar99_us,random,partition,drifting,low,3804.817,3702.7582,3922.7445,0.001,4.7088,200,0.006448,True
cvar99_us,round-robin,partition,drifting,low,3786.1964,3662.4662,3909.744,0.001,4.0531,200,0.003254,True
cvar99_us,binpack-greedy,partition,drifting,low,5186.6485,5112.5582,5264.9969,0.001,9.2038,200,0.003806,True
cvar99_us,tail-greedy,partition,drifting,low,1869.233,1835.7472,1902.9171,0.001,7.3441,200,0.004331,True
cvar99_us,similarity-avoidance,partition,drifting,low,2524.4413,2440.571,2613.9408,0.001,3.9666,200,0.00432,True
cvar99_us,admission-only,partition,drifting,low,3772.6699,3656.0819,3893.4984,0.001,4.4941,200,0.004309,True
cvar99_us,oracle,partition,drifting,low,1872.0552,1835.3601,1905.0326,0.001,7.3275,200,0.004299,True
cvar99_us,static-low,partition,drifting,low,704.4909,684.5668,726.532,0.001,4.9156,200,0.004288,True
cvar99_us,static-high,partition,drifting,low,6693.6818,6603.6656,6776.763,0.001,10.1862,200,0.004277,True
cvar99_us,k8s-hpa,partition,drifting,low,2626.3792,2536.2113,2714.6068,0.001,3.8101,200,0.003304,True
cvar99_us,k8s-default,partition,drifting,low,2165.2887,2087.9176,2244.2315,0.001,3.8537,200,0.003298,True
cvar99_us,slurm-fcfs,partition,drifting,low,3779.7748,3654.6801,3917.5263,0.001,3.9789,200,0.003291,True
cvar99_us,triton-proxy,partition,drifting,low,5552.3718,5383.7182,5729.5236,0.001,4.3442,200,0.003285,True
cvar99_us,SIT-safe,partition,drifting,medium,3728.1486,3658.9702,3794.0895,0.001,7.4399,200,0.003279,True
cvar99_us,SIT-no-IRBS,partition,drifting,medium,7085.8654,6857.8093,7337.9541,0.001,4.1452,200,0.003273,True
cvar99_us,SIT-no-safety,partition,drifting,medium,7001.646,6888.0089,7118.808,0.001,8.65,200,0.003267,True
cvar99_us,SIT-no-admission,partition,drifting,medium,5300.8036,5218.8924,5384.3704,0.001,8.2589,200,0.00326,True
cvar99_us,spread,partition,drifting,medium,2541.8241,2409.8141,2686.9361,0.001,2.6073,200,0.003355,True
cvar99_us,random,partition,drifting,medium,7556.5514,7333.914,7778.4294,0.001,4.5426,200,0.003349,True
cvar99_us,round-robin,partition,drifting,medium,7543.9072,7284.9893,7793.2111,0.001,4.0432,200,0.003342,True
cvar99_us,binpack-greedy,partition,drifting,medium,10330.0288,10185.0225,10486.3231,0.001,9.3011,200,0.003336,True
cvar99_us,tail-greedy,partition,drifting,medium,3728.0123,3659.8974,3796.2055,0.001,7.3566,200,0.003329,True
cvar99_us,similarity-avoidance,partition,drifting,medium,5018.4235,4849.1624,5196.8493,0.001,3.9557,200,0.003323,True
cvar99_us,admission-only,partition,drifting,medium,7508.2092,7274.6384,7726.0345,0.001,4.584,200,0.003388,True
cvar99_us,oracle,partition,drifting,medium,3728.0328,3662.7517,3796.1748,0.001,7.4748,200,0.00331,True
cvar99_us,static-low,partition,drifting,medium,1394.4343,1352.6804,1434.0651,0.001,4.8587,200,0.003136,True
cvar99_us,static-high,partition,drifting,medium,13333.0975,13157.2312,13518.9347,0.001,10.118,200,0.00313,True
cvar99_us,k8s-hpa,partition,drifting,medium,5232.7497,5042.2888,5417.8637,0.001,3.8066,200,0.003125,True
cvar99_us,k8s-default,partition,drifting,medium,4299.2502,4143.7392,4455.9945,0.001,3.8407,200,0.003317,True
cvar99_us,slurm-fcfs,partition,drifting,medium,7521.4308,7269.4396,7774.2576,0.001,3.9781,200,0.003382,True
cvar99_us,triton-proxy,partition,drifting,medium,11069.4737,10754.1395,11421.1672,0.001,4.3362,200,0.003375,True
cvar99_us,SIT-safe,partition,drifting,saturation,7449.6935,7318.9307,7586.8679,0.001,7.5244,200,0.003368,True
cvar99_us,SIT-no-IRBS,partition,drifting,saturation,13791.9199,13380.7077,14180.0469,0.001,4.8742,200,0.003362,True
cvar99_us,SIT-no-safety,partition,drifting,saturation,13992.7828,13789.3455,14211.6932,0.001,8.807,200,0.004547,True
cvar99_us,SIT-no-admission,partition,drifting,saturation,10609.3753,10424.0642,10775.6838,0.001,8.3497,200,0.004535,True
cvar99_us,spread,partition,drifting,saturation,5075.8374,4787.0493,5382.5331,0.001,2.53,200,0.004524,True
cvar99_us,random,partition,drifting,saturation,15347.1015,14873.7742,15857.9367,0.001,4.2596,200,0.004512,True
cvar99_us,round-robin,partition,drifting,saturation,15077.7237,14603.4959,15610.2107,0.001,4.0736,200,0.0045,True
cvar99_us,binpack-greedy,partition,drifting,saturation,20641.2581,20357.1591,20943.3687,0.001,9.4358,200,0.004488,True
cvar99_us,tail-greedy,partition,drifting,saturation,7459.331,7332.4086,7593.8778,0.001,7.5718,200,0.004477,True
cvar99_us,similarity-avoidance,partition,drifting,saturation,10047.2393,9711.7887,10375.464,0.001,4.0282,200,0.004608,True
cvar99_us,admission-only,partition,drifting,saturation,15221.0446,14766.7903,15694.7412,0.001,4.5347,200,0.004144,True
cvar99_us,oracle,partition,drifting,saturation,7457.1404,7321.3571,7586.8956,0.001,7.5349,200,0.004134,True
cvar99_us,static-low,partition,drifting,saturation,2804.027,2727.0669,2878.9986,0.001,5.1156,200,0.004124,True
cvar99_us,static-high,partition,drifting,saturation,26625.7631,26271.8089,26993.0304,0.001,10.2171,200,0.004465,True
cvar99_us,k8s-hpa,partition,drifting,saturation,10468.2275,10092.4786,10842.3653,0.001,3.8338,200,0.004596,True
cvar99_us,k8s-default,partition,drifting,saturation,8619.3316,8317.1247,8941.6048,0.001,3.8342,200,0.004584,True
cvar99_us,slurm-fcfs,partition,drifting,saturation,15037.3123,14520.3078,15561.213,0.001,4.0109,200,0.004571,True
cvar99_us,triton-proxy,partition,drifting,saturation,22111.9448,21377.8713,22869.2926,0.001,4.3762,200,0.004559,True
cvar99_us,SIT-safe,partition,heavy_tail_burst,high,-23164.2342,-133450.7707,59733.4116,0.376,-0.0315,200,0.690465,False
cvar99_us,SIT-no-IRBS,partition,heavy_tail_burst,high,93499.817,-134658.6796,424385.8751,0.355,0.0429,200,0.658904,False
cvar99_us,SIT-no-safety,partition,heavy_tail_burst,high,-44768.7713,-166061.8718,29276.4821,0.199,-0.0626,200,0.405032,False
cvar99_us,SIT-no-admission,partition,heavy_tail_burst,high,44705.2834,-82989.9677,157418.2563,0.221,0.0514,200,0.440979,False
cvar99_us,spread,partition,heavy_tail_burst,high,115107.5451,-36434.8561,291201.0922,0.084,0.0946,200,0.182123,False
cvar99_us,random,partition,heavy_tail_burst,high,-26745.8155,-142951.5365,45799.2224,0.329,-0.0393,200,0.622004,False
cvar99_us,round-robin,partition,heavy_tail_burst,high,-6742.7855,-119405.5276,73227.7126,0.486,-0.0091,200,0.838969,False
cvar99_us,binpack-greedy,partition,heavy_tail_burst,high,14274.2803,-124791.1837,150284.7817,0.408,0.0152,200,0.7344,False
cvar99_us,tail-greedy,partition,heavy_tail_burst,high,-39495.2333,-150636.0112,40530.4367,0.266,-0.0547,200,0.517039,False
cvar99_us,similarity-avoidance,partition,heavy_tail_burst,high,-4317.4181,-122792.571,74822.3135,0.506,-0.0058,200,0.870884,False
cvar99_us,admission-only,partition,heavy_tail_burst,high,-3956.2969,-128822.0005,79658.872,0.528,-0.0054,200,0.906042,False
cvar99_us,oracle,partition,heavy_tail_burst,high,-24599.4005,-132107.1181,53021.2687,0.349,-0.0334,200,0.650563,False
cvar99_us,static-low,partition,heavy_tail_burst,high,-13246.2101,-137507.4091,84867.9501,0.43,-0.0166,200,0.766021,False
cvar99_us,static-high,partition,heavy_tail_burst,high,211958.7759,-102638.3825,724512.74,0.208,0.0648,200,0.419398,False
cvar99_us,k8s-hpa,partition,heavy_tail_burst,high,30243.4443,-114389.3241,170220.0188,0.327,0.0298,200,0.620259,False
cvar99_us,k8s-default,partition,heavy_tail_burst,high,-25382.2011,-142377.3655,61556.9218,0.356,-0.0339,200,0.660052,False
cvar99_us,slurm-fcfs,partition,heavy_tail_burst,high,16861.6576,-95908.2973,113447.3813,0.338,0.0212,200,0.636929,False
